category,complaint_count
Klima,1978
Çamaşır Makinesi,1962
Buzdolabı,1791
Bulaşık Makinesi,1036
Kurutma Makinesi,830
Televizyon,827
Yazarkasa Pos,756
Derin Dondurucu,287
Şarjlı Süpürge,280
Ankastre Fırın,257
Robot Süpürge,226
Çaycı,151
Kombi,144
Ocak,142
Ankastre Ocak,133
Fırın,130
Davlumbaz,130
Kahve Makinesi,113
Beko,111
Türk Kahvesi Makinesi,105
Su Sebili,103
Hava Soğutucu,100
Ütü,67
Elektrikli Süpürge,63
Espresso Makinesi,60
Mikrodalga,59
Ankastre Set,57
Termosifon,51
Kurutmalı Çamaşır Makinesi,46
Set Üstü Ocak,45
Tost Makinesi,37
Vantilatör,27
Blender Seti,26
Süpürge,26
Mini Fırın,25
Blender,21
Aspiratör,19
Buharlı Temizleyici,15
Şofben,15
Filtre Kahve Makinesi,14
Kettle,10
Semaver,10
Katı Meyve Sıkacağı,9
Doğrayıcı,8
Hava Temizleyici,8
Fritöz,7
Düdüklü Tencere,6
Ekmek Kızartma Makinesi,6
Çeyiz Paketi,5
Hamur Yoğurma Makinesi,5
Mutfak Robotu,3
Ekmek Yapma Makinesi,3
Kıyma Makinesi,3
Mikser,3
Termostat,2
Narenciye Sıkacağı,2
Saç Düzleştirici,2
