category,complaint_count,avg_satisfaction,legal_risk_count,avg_view_count,avg_support_count
Klima,1978,3.6617795753286146,289,1436.8685540950455,0.11880687563195147
Çamaşır Makinesi,1962,3.6452599388379205,402,2181.0560652395516,0.15188583078491336
Buzdolabı,1791,3.664433277498604,330,1583.3322166387493,0.15857063093243998
Bulaşık Makinesi,1036,3.753861003861004,173,2437.9169884169883,0.13513513513513514
Kurutma Makinesi,830,3.7759036144578313,104,3276.6373493975902,0.1493975903614458
Televizyon,827,3.7980652962515116,108,1907.9141475211609,0.12575574365175332
Yazarkasa Pos,756,3.5992063492063493,49,2367.835978835979,0.1402116402116402
Derin Dondurucu,287,3.6411149825783973,35,1989.4006968641115,0.14634146341463414
Şarjlı Süpürge,280,3.5035714285714286,47,2518.2892857142856,0.08928571428571429
Ankastre Fırın,257,3.8249027237354087,39,2489.6342412451363,0.13229571984435798
Robot Süpürge,226,3.7168141592920354,29,2377.150442477876,0.10176991150442478
Çaycı,151,3.6688741721854305,15,1765.841059602649,0.15894039735099338
Kombi,144,3.6666666666666665,28,1690.951388888889,0.027777777777777776
Ocak,142,3.6056338028169015,19,1475.112676056338,0.08450704225352113
Ankastre Ocak,133,4.0,15,1434.593984962406,0.09774436090225563
Fırın,130,3.8153846153846156,20,1980.6615384615384,0.06923076923076923
Davlumbaz,130,4.069230769230769,14,1241.9769230769232,0.05384615384615385
Kahve Makinesi,113,3.6991150442477876,19,1969.3362831858408,0.035398230088495575
Beko,111,3.8468468468468466,8,952.9549549549549,0.0990990990990991
Türk Kahvesi Makinesi,105,3.6476190476190475,13,2229.542857142857,0.06666666666666667
Su Sebili,103,3.796116504854369,13,2101.378640776699,0.11650485436893204
Hava Soğutucu,100,3.71,21,4901.34,0.23
Ütü,67,3.671641791044776,8,2018.3283582089553,0.04477611940298507
Elektrikli Süpürge,63,3.7142857142857144,8,1548.7142857142858,0.09523809523809523
Espresso Makinesi,60,3.85,6,3026.233333333333,0.1
Mikrodalga,59,3.847457627118644,7,1166.8474576271187,0.03389830508474576
Ankastre Set,57,3.8947368421052633,4,2530.6315789473683,0.07017543859649122
Termosifon,51,3.823529411764706,3,1340.4313725490197,0.11764705882352941
Kurutmalı Çamaşır Makinesi,46,3.6739130434782608,11,2883.8695652173915,0.17391304347826086
Set Üstü Ocak,45,3.8222222222222224,10,1004.4,0.08888888888888889
Tost Makinesi,37,3.6486486486486487,2,1309.054054054054,0.05405405405405406
Vantilatör,27,3.4814814814814814,4,1178.8148148148148,0.0
Süpürge,26,3.423076923076923,7,1866.1923076923076,0.038461538461538464
Blender Seti,26,3.6153846153846154,1,1886.4615384615386,0.9230769230769231
Mini Fırın,25,3.8,2,2558.88,0.12
Blender,21,3.5714285714285716,3,1507.3333333333333,0.14285714285714285
Aspiratör,19,3.736842105263158,1,1162.3157894736842,0.15789473684210525
Buharlı Temizleyici,15,4.0,2,2524.3333333333335,0.3333333333333333
Şofben,15,3.6,2,1421.5333333333333,0.0
Filtre Kahve Makinesi,14,4.0,1,1631.7142857142858,0.07142857142857142
Semaver,10,3.0,2,506.1,0.1
Kettle,10,3.5,0,525.0,0.2
Katı Meyve Sıkacağı,9,4.111111111111111,1,1427.5555555555557,0.0
Hava Temizleyici,8,3.25,0,1537.375,0.125
Doğrayıcı,8,4.125,3,691.0,0.0
Fritöz,7,4.0,2,2952.8571428571427,0.2857142857142857
Düdüklü Tencere,6,4.166666666666667,0,3644.6666666666665,0.0
Ekmek Kızartma Makinesi,6,4.333333333333333,0,517.3333333333334,0.16666666666666666
Hamur Yoğurma Makinesi,5,3.6,1,4211.6,0.6
Çeyiz Paketi,5,3.6,1,524.4,0.0
Ekmek Yapma Makinesi,3,4.0,0,837.3333333333334,0.0
Kıyma Makinesi,3,4.0,0,1058.3333333333333,0.0
Mikser,3,3.3333333333333335,0,417.3333333333333,0.3333333333333333
Mutfak Robotu,3,4.0,0,1557.0,0.3333333333333333
Narenciye Sıkacağı,2,2.5,0,369.5,0.0
Saç Düzleştirici,2,4.0,0,537.5,0.0
Termostat,2,2.5,0,755.0,0.0
